arabic-001,The Shackled Woman,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
arabic-035,The Great Horse,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
arabic_moon_stations-027,The Rear mouth of the bucket,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
chinese-002,Wall,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
dakota-005,Keya Turtle,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
egyptian-016,Giant,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
hawaiian_starlines-LUP,Kite of Kawelo,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
japanese_moon_stations-14,Wall,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
korean-095,Eastern Wall,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
navajo-004,Lizard,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
ojibwe-005,Moose,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
romanian-Jgb,The Wall with a Drain,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
western-And,Andromeda,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
western-Peg,Pegasus,677,Alpheratz,0.139791,29.090432,2.07,-0.297,10158.0,And,14,Andromeda
arabic-001,The Shackled Woman,3092,,0.655462,30.861024,3.27,0.72,4376.0,And,7,Andromeda
chinese-012,Legs,3092,,0.655462,30.861024,3.27,0.72,4376.0,And,7,Andromeda
japanese_moon_stations-15,Stride,3092,,0.655462,30.861024,3.27,0.72,4376.0,And,7,Andromeda
korean-103,Armory,3092,,0.655462,30.861024,3.27,0.72,4376.0,And,7,Andromeda
navajo-004,Lizard,3092,,0.655462,30.861024,3.27,0.72,4376.0,And,7,Andromeda
romanian-Jgb,The Wall with a Drain,3092,,0.655462,30.861024,3.27,0.72,4376.0,And,7,Andromeda
western-And,Andromeda,3092,,0.655462,30.861024,3.27,0.72,4376.0,And,7,Andromeda
arabic-001,The Shackled Woman,3881,,0.830234,41.078911,4.53,-1.857,13018.0,And,6,Andromeda
arabic_moon_stations-028,The Bucket cord,3881,,0.830234,41.078911,4.53,-1.857,13018.0,And,6,Andromeda
chinese-012,Legs,3881,,0.830234,41.078911,4.53,-1.857,13018.0,And,6,Andromeda
japanese_moon_stations-15,Stride,3881,,0.830234,41.078911,4.53,-1.857,13018.0,And,6,Andromeda
korean-103,Armory,3881,,0.830234,41.078911,4.53,-1.857,13018.0,And,6,Andromeda
western-And,Andromeda,3881,,0.830234,41.078911,4.53,-1.857,13018.0,And,6,Andromeda
arabic-001,The Shackled Woman,4436,,0.945885,38.499345,3.86,0.862,8224.0,And,6,Andromeda
chinese-012,Legs,4436,,0.945885,38.499345,3.86,0.862,8224.0,And,6,Andromeda
japanese_moon_stations-15,Stride,4436,,0.945885,38.499345,3.86,0.862,8224.0,And,6,Andromeda
korean-103,Armory,4436,,0.945885,38.499345,3.86,0.862,8224.0,And,6,Andromeda
navajo-004,Lizard,4436,,0.945885,38.499345,3.86,0.862,8224.0,And,6,Andromeda
western-And,Andromeda,4436,,0.945885,38.499345,3.86,0.862,8224.0,And,6,Andromeda
arabic-001,The Shackled Woman,5447,Mirach,1.162194,35.620558,2.07,-1.84,3837.0,And,8,Andromeda
arabic_moon_stations-028,The Bucket cord,5447,Mirach,1.162194,35.620558,2.07,-1.84,3837.0,And,8,Andromeda
chinese-012,Legs,5447,Mirach,1.162194,35.620558,2.07,-1.84,3837.0,And,8,Andromeda
japanese_moon_stations-15,Stride,5447,Mirach,1.162194,35.620558,2.07,-1.84,3837.0,And,8,Andromeda
korean-103,Armory,5447,Mirach,1.162194,35.620558,2.07,-1.84,3837.0,And,8,Andromeda
navajo-004,Lizard,5447,Mirach,1.162194,35.620558,2.07,-1.84,3837.0,And,8,Andromeda
romanian-Jgb,The Wall with a Drain,5447,Mirach,1.162194,35.620558,2.07,-1.84,3837.0,And,8,Andromeda
western-And,Andromeda,5447,Mirach,1.162194,35.620558,2.07,-1.84,3837.0,And,8,Andromeda
arabic-001,The Shackled Woman,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
arabic-001,The Shackled Woman,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
chinese-215,Great General of Heaven,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
chinese-215,Great General of Heaven,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
korean-108,Emperator,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
korean-108,Emperator,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
navajo-004,Lizard,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
navajo-004,Lizard,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
romanian-Jgb,The Wall with a Drain,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
romanian-Jgb,The Wall with a Drain,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
western-And,Andromeda,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
western-And,Andromeda,9640,Almaak,2.064984,42.329725,2.1,-3.305,4209.0,And,6,Andromeda
arabic-002,The Well-bucket,102618,Albali,20.794598,-9.495776,3.78,-0.241,9531.0,Aqr,7,Aquarius
arabic_moon_stations-023,The Lucky stars of the swallower,102618,Albali,20.794598,-9.495776,3.78,-0.241,9531.0,Aqr,7,Aquarius
chinese-017,Girl,102618,Albali,20.794598,-9.495776,3.78,-0.241,9531.0,Aqr,7,Aquarius
japanese_moon_stations-10,Woman,102618,Albali,20.794598,-9.495776,3.78,-0.241,9531.0,Aqr,7,Aquarius
korean-066,Court Lady,102618,Albali,20.794598,-9.495776,3.78,-0.241,9531.0,Aqr,7,Aquarius
romanian-Var,He Who Pours Out the Water,102618,Albali,20.794598,-9.495776,3.78,-0.241,9531.0,Aqr,7,Aquarius
western-Aqr,Aquarius,102618,Albali,20.794598,-9.495776,3.78,-0.241,9531.0,Aqr,7,Aquarius
arabic-002,The Well-bucket,106278,Sadalsuud,21.525982,-5.571172,2.9,-3.184,5217.0,Aqr,8,Aquarius
arabic_moon_stations-024,The Lucky stars of the Luckiest ones,106278,Sadalsuud,21.525982,-5.571172,2.9,-3.184,5217.0,Aqr,8,Aquarius
chinese-028,Emptiness,106278,Sadalsuud,21.525982,-5.571172,2.9,-3.184,5217.0,Aqr,8,Aquarius
egyptian-016,Giant,106278,Sadalsuud,21.525982,-5.571172,2.9,-3.184,5217.0,Aqr,8,Aquarius
japanese_moon_stations-11,Emptiness,106278,Sadalsuud,21.525982,-5.571172,2.9,-3.184,5217.0,Aqr,8,Aquarius
korean-071,Empty House,106278,Sadalsuud,21.525982,-5.571172,2.9,-3.184,5217.0,Aqr,8,Aquarius
romanian-Var,He Who Pours Out the Water,106278,Sadalsuud,21.525982,-5.571172,2.9,-3.184,5217.0,Aqr,8,Aquarius
western-Aqr,Aquarius,106278,Sadalsuud,21.525982,-5.571172,2.9,-3.184,5217.0,Aqr,8,Aquarius
arabic-002,The Well-bucket,109074,Sadalmelik,22.096399,-0.319851,2.95,-3.078,4910.0,Aqr,7,Aquarius
chinese-023,Rooftop,109074,Sadalmelik,22.096399,-0.319851,2.95,-3.078,4910.0,Aqr,7,Aquarius
chinese-072,Tomb Vassal of Rooftop,109074,Sadalmelik,22.096399,-0.319851,2.95,-3.078,4910.0,Aqr,7,Aquarius
